triton molar mass , -5.803988456726074
"-Zeta(1;1/2)" , 1.3667659759521484
exp(-gamma) , -0.5772151947021484
Sinh(1) , 0.1614389419555664
Tribonacci Constant , 0.6093778610229492
Pi/2*sqrt(3) , 1.0008888244628906
neutron g factor , 1.341841697692871
Zeta(5) , 0.036261558532714844
GAMMA(1/4) , 1.2880220413208008
log(2*Pi) , 0.6086111068725586
Fransen-Robinson constant , 1.0323905944824219
lattice parameter of silicon , -21.333723068237305
elementary charge over h , 33.11912727355957
first radiation constant , -35.52180194854736
helion molar mass , -5.804177284240723
"product(1+1/n**3;n=1..infinity)" , 0.88714599609375
nuclear magneton in MHz/T , 2.031116485595703
neutron Compton wavelength over 2 pi , -36.09933090209961
Planck mass , -17.64295768737793
molar Planck constant , -21.64198112487793
Josephson constant , 33.81227397918701
Planck length , -80.11040115356445
Feigenbaum constant , 1.5409879684448242
Bohr magneton in Hz/T , 23.3620548248291
Compton wavelength , -26.744648933410645
muon molar mass , -9.084333419799805
"molar volume of ideal gas (273.15 K 100 kPa)" , -3.784907341003418
proton mag. shielding correction , -10.569252967834473
proton mass , -61.655405044555664
gamma**2 , -1.0990781784057617
Tree-growth constant , 1.0837574005126953
neutron mass energy equivalent , -22.616825103759766
GAMMA(3/4) , 0.20328044891357422
1/sqrt(2*pi) , -0.9189376831054688
classical electron radius , -33.502769470214844
neutron-proton mass difference energy equivalent , -29.205020904541016
arctan(1/2)/Pi , -1.9133596420288086
Lemniscate constant or Gauss constant , 0.963958740234375
Komornik-Loreti constant , 0.5806674957275391
proton charge to mass quotient , 18.37765121459961
Champernowne number , -2.0918636322021484
nuclear magneton , -60.55025386810303
electron mass in u , -7.508176803588867
proton Compton wavelength , -34.26007652282715
Bohr magneton in inverse meters per tesla , 3.8434534072875977
Glaisher-Kinkelin constant , 0.24875354766845703
solution of exp(x)(x-1) = exp(-x)(x+1) , 0.1820535659790039
log(10) , 0.8340320587158203
Madelung constant , 0.558222770690918
Angstrom star , -23.025835037231445
Hadamard-de-la-Vallee-Poussin constant , -1.3413314819335938
Rydberg constant times c in Hz , 35.729615211486816
Niven Constant , 0.5336885452270508
atomic unit of electric polarizability , -93.90595436096191
electron charge to mass quotient , 25.893078804016113
alpha particle molar mass , -5.521083831787109
atomic unit of time , -38.260640144348145
tau mass energy equivalent , -21.97966194152832
shielded helion mag. mom. , -59.79530715942383
Levy constant , 1.186568260192871
atomic unit of velocity , 14.598357200622559
Cahen constant , -0.44097137451171875
molar mass constant , -6.907754898071289
triton mass in u , 1.1037654876708984
Hartree energy in eV , 3.3036346435546875
Mo x unit , -29.93150806427002
Wien frequency displacement law constant , 24.797224044799805
alpha particle mass energy equivalent in MeV , 8.22346019744873
von Klitzing constant , 10.158625602722168
atomic unit of electric dipole mom. , -66.94003582000732
Rydberg constant , 16.21101474761963
log(phi) , -0.7314472198486328
Sierpinski Constant , 0.9497175216674805
muon mag. mom. anomaly , -6.754243850708008
Traveling Salesman Constant , -0.33577632904052734
3/(Pi**2) , -1.190847396850586
standard atmosphere , 11.526087760925293
sqrt(5) , 0.804718017578125
Bohr magneton in eV/T , -9.757072448730469
parking constant or Renyi constant , -0.2908897399902344
"Sackur-Tetrode constant (1 K 101.325 kPa)" , 0.15260982513427734
sqrt(3) , 0.5493059158325195
a Flajolet constant (I) , -0.20864009857177734
nuclear magneton in eV/T , -17.272500038146973
Dubois-Raymond 2nd constant , -1.6371784210205078
triton mag. mom. , -59.458678245544434
Faraday constant for conventional electric current , 11.47714614868164
muon mass energy equivalent , -24.80203151702881
Planck mass energy equivalent in GeV , 43.94873046875
triton mass energy equivalent in MeV , 7.940555572509766
second radiation constant , -4.241375923156738
a Flajolet constant (II) , 0.8340234756469727
Rydberg constant times hc in J , -40.66726493835449
Ramanujan number : exp(Pi*sqrt(163)) , 35.50399971008301
"sum(1/n^n;n=1..inf)" , 0.25563812255859375
a Flajolet constant (III) , 0.48745059967041016
Catalan constant , -0.08777618408203125
Gauss-Kuzmin-Wirsing , -1.1918363571166992
-LOG(gamma) , -0.5986747741699219
Lehmer constant , -0.5231800079345703
-EXP(1)*Ei(-1) , -0.5169315338134766
helion mass energy equivalent in MeV , 7.940366744995117
neutron-proton mass difference energy equivalent in MeV , 0.2572212219238281
Gamma(0) of Conway , -1.903620719909668
Twin primes constant , -0.4152698516845703
deuteron mass in u , 0.6999006271362305
neutron Compton wavelength , -34.261454582214355
neutron mass in u , 0.008626937866210938
Fermi coupling constant , -11.359033584594727
standard-state pressure , 11.512925148010254
exp(-Pi/2) , -1.570796012878418
shielded proton mag. mom. , -59.52321815490723
tau mass energy equivalent in MeV , 7.482580184936523
triton mass energy equivalent , -21.521686553955078
Mills Constant , 0.2672576904296875
e^1/e , 0.36787891387939453
neutron mag. mom. , -59.9015588760376
Rabbit Constant , -0.34276676177978516
Second Tree-Growth constant , -0.8211526870727539
-LOG(LOG(2)) , -1.0037212371826172
log(3) , 0.09404754638671875
Continued Fractions constant (base 10). , 0.030179977416992188
helion mass in u , 1.10357666015625
sqrt(10) , 1.151291847229004
Copeland-Erdos constant (prime numbers) , -1.4451475143432617
sqrt(8) , 1.0397205352783203
A Salem number of degree 38 , 0.2594442367553711
Newtonian constant of gravitation , -23.4302396774292
conductance quantum , -9.46547794342041
natural unit of time , -48.1011266708374
quantum of circulation times 2 , -7.226047515869141
Hard hexagons constant , 0.33324241638183594
electron mag. mom. , -53.03366661071777
Conway constant , 0.26511192321777344
First zero of Riemann Zeta function , 2.6486339569091797
